# airline	from	to	codeshare	stops	equipment
# Date: 2012-10-14
2B	AER	DME		0	CR2
2B	ASF	LED		0	CR2
2B	CEK	DME		0	CR2
2B	CEK	KZN		0	CR2
2B	CEK	OVB		0	CR2
2B	DME	AER		0	CR2
2B	DME	CEK		0	CR2
2B	DME	KGD		0	CR2
2B	DME	NBC		0	CR2
2B	DME	PEZ		0	CR2
2B	DME	UUA		0	CR2
2B	GOJ	LED		0	CR2
2B	GOJ	MRV		0	CR2
2B	GYD	NBC		0	CR2
2B	KGD	DME		0	CR2
2B	KZN	CEK		0	CR2
2B	KZN	LED		0	CR2
2B	KZN	MUC		0	CR2
2B	KZN	UUA		0	CR2
2B	LED	ASF		0	CR2
2B	LED	GOJ		0	CR2
2B	LED	KZN		0	CR2
2B	LED	NBC		0	CR2
2B	LED	PEZ		0	CR2
2B	LED	UUA		0	CR2
2B	MRV	GOJ		0	CR2
2B	MUC	KZN		0	CR2
2B	NBC	DME		0	CR2
2B	NBC	GYD		0	CR2
2B	NBC	LED		0	CR2
2B	NBC	NJC		0	CR2
2B	NJC	NBC		0	CR2
2B	NJC	UUA		0	CR2
2B	OVB	CEK		0	CR2
2B	PEZ	DME		0	CR2
2B	PEZ	LED		0	CR2
2B	UUA	DME		0	CR2
2B	UUA	KZN		0	CR2
2B	UUA	LED		0	CR2
2B	UUA	NJC		0	CR2
2I	ANS	LIM		0	141
2I	AYP	LIM		0	142
2I	CUZ	LIM		0	141 142
2I	CUZ	PEM		0	142
2I	HUU	LIM		0	141
2I	IQT	PCL		0	142 143
2I	IQT	TPP		0	142
2I	LIM	ANS		0	141
2I	LIM	AYP		0	142
2I	LIM	CUZ		0	141 142
2I	LIM	HUU		0	141
2I	LIM	PCL		0	142 143
2I	LIM	TPP		0	142
2I	LIM	TYL		0	142
2I	PCL	IQT		0	142 143
2I	PCL	LIM		0	142 143
2I	PCL	TPP		0	143
2I	PEM	CUZ		0	142
2I	TPP	IQT		0	142
2I	TPP	LIM		0	142 143
2I	TPP	PCL		0	142
2I	TYL	LIM		0	142
2J	ABJ	BOY		0	CRJ M87
2J	ABJ	OUA		0	CRJ M87
2J	ACC	OUA		0	CRJ
2J	BKO	DKR		0	M87
2J	BKO	OUA		0	M87 CRJ
2J	BOY	ABJ		0	CRJ M87
2J	BOY	OUA		0	CRJ M87
2J	COO	LBV		0	M87
2J	COO	OUA		0	M87
2J	DKR	BKO		0	M87
2J	DKR	OUA		0	M87
2J	LBV	COO		0	M87
2J	LFW	OUA		0	CRJ
2J	NIM	OUA		0	CRJ
2J	OUA	ABJ		0	CRJ M87
2J	OUA	ACC		0	CRJ
2J	OUA	BKO		0	M87 CRJ
2J	OUA	BOY		0	CRJ M87
2J	OUA	COO		0	M87
2J	OUA	DKR		0	M87
2J	OUA	LFW		0	CRJ
2J	OUA	NIM		0	CRJ
2K	BOG	GYE		0	319
2K	BOG	UIO		0	320 319
2K	CUE	UIO		0	319
2K	GPS	GYE		0	320 319
2K	GPS	UIO		0	319
2K	GYE	BOG		0	319
2K	GYE	GPS		0	320 319
2K	GYE	SCY		0	319 320
2K	GYE	UIO		0	319 320
2K	MEC	UIO		0	319 320
2K	OCC	UIO		0	319
2K	SCY	GYE		0	319 320
2K	UIO	BOG		0	320 319
2K	UIO	CUE		0	319
2K	UIO	GYE		0	319 320
2K	UIO	MEC		0	319 320
2K	UIO	OCC		0	319
2L	BDS	BRN		0	100
2L	BDS	ZRH		0	100
2L	BRI	ZRH		0	100
